job_id,job_class,state_id,solvent_id,paired_solvent_id,reaction_ids,purposes,entity_type,species_name,family,formal_charge,multiplicity,split,anchor_type,use_for_training,geometry_source,geometry_key,geometry_hash,smd_parameter_temperature_K,functional,basis,ri_acceleration,scf_grid,smd_mode,smd_vector_source,smd_parameter_status,nprocs,maxcore_mb_per_rank,planning_core_h,workflow_revision,method_id,output_fields,job_status,method_source_id
SP0012,diagnostic_gas_sp,D024_QP2_M1,GAS,S004,DIAGNOSTIC_GAS,gas/SMD decomposition and parser audit,sigma_complex_dication,"2,2′-Bithiophene sigma-complex dication",Thiophenes,2,1,diagnostic,,0,deterministic sigma construction then solvent-specific GFN2/ddCOSMO preoptimization with connectivity QC,surrogate:sigma_preopt:D024:S004:q2:m1,,,wB97X-D3,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3,gas,,not_applicable,8,3000,4.22,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_gas_energy_SP_v1,final_energy_Eh;normal_termination;geometry_hash,planned,SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
SP0013,diagnostic_gas_sp,D026_QP2_M1,GAS,S005,DIAGNOSTIC_GAS,gas/SMD decomposition and parser audit,sigma_complex_dication,Pyrrole sigma-complex dication,Pyrroles,2,1,diagnostic,,0,deterministic sigma construction then solvent-specific GFN2/ddCOSMO preoptimization with connectivity QC,surrogate:sigma_preopt:D026:S005:q2:m1,,,wB97X-D3,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3,gas,,not_applicable,8,3000,4.22,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_gas_energy_SP_v1,final_energy_Eh;normal_termination;geometry_hash,planned,SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
SP0014,diagnostic_gas_sp,D027_QP2_M1,GAS,S001,DIAGNOSTIC_GAS,gas/SMD decomposition and parser audit,sigma_complex_dication,N-Methylpyrrole sigma-complex dication,Pyrroles,2,1,diagnostic,,0,deterministic sigma construction then solvent-specific GFN2/ddCOSMO preoptimization with connectivity QC,surrogate:sigma_preopt:D027:S001:q2:m1,,,wB97X-D3,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3,gas,,not_applicable,8,3000,4.22,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_gas_energy_SP_v1,final_energy_Eh;normal_termination;geometry_hash,planned,SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
SP0015,diagnostic_gas_sp,D038_QP2_M1,GAS,S004,DIAGNOSTIC_GAS,gas/SMD decomposition and parser audit,sigma_complex_dication,Furan sigma-complex dication,Furans,2,1,diagnostic,,0,deterministic sigma construction then solvent-specific GFN2/ddCOSMO preoptimization with connectivity QC,surrogate:sigma_preopt:D038:S004:q2:m1,,,wB97X-D3,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3,gas,,not_applicable,8,3000,4.22,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_gas_energy_SP_v1,final_energy_Eh;normal_termination;geometry_hash,planned,SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
SP0016,diagnostic_gas_sp,D042_QP2_M1,GAS,S005,DIAGNOSTIC_GAS,gas/SMD decomposition and parser audit,sigma_complex_dication,3-Octylfuran sigma-complex dication,Furans,2,1,diagnostic,,0,deterministic sigma construction then solvent-specific GFN2/ddCOSMO preoptimization with connectivity QC,surrogate:sigma_preopt:D042:S005:q2:m1,,,wB97X-D3,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3,gas,,not_applicable,8,3000,4.22,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_gas_energy_SP_v1,final_energy_Eh;normal_termination;geometry_hash,planned,SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
SP0017,diagnostic_gas_sp,M022_Q0_M1,GAS,S001,DIAGNOSTIC_GAS,gas/SMD decomposition and parser audit,monomer,"3,4-Ethylenedioxythiophene (EDOT)",Thiophenes,0,1,diagnostic,,0,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M022:S001:q0:m1,,,wB97X-D3,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3,gas,,not_applicable,8,3000,1.74,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_gas_energy_SP_v1,final_energy_Eh;normal_termination;geometry_hash,planned,SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
SP0018,diagnostic_gas_sp,M022_QP1_M2,GAS,S001,DIAGNOSTIC_GAS,gas/SMD decomposition and parser audit,monomer,"3,4-Ethylenedioxythiophene (EDOT)",Thiophenes,1,2,diagnostic,,0,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M022:S001:q1:m2,,,wB97X-D3,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3,gas,,not_applicable,8,3000,1.74,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_gas_energy_SP_v1,final_energy_Eh;normal_termination;geometry_hash,planned,SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
SP0019,diagnostic_gas_sp,M027_Q0_M1,GAS,S002,DIAGNOSTIC_GAS,gas/SMD decomposition and parser audit,monomer,N-Methylpyrrole,Pyrroles,0,1,diagnostic,,0,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M027:S002:q0:m1,,,wB97X-D3,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3,gas,,not_applicable,8,3000,1.74,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_gas_energy_SP_v1,final_energy_Eh;normal_termination;geometry_hash,planned,SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
SP0020,diagnostic_gas_sp,M027_QP1_M2,GAS,S001,DIAGNOSTIC_GAS,gas/SMD decomposition and parser audit,monomer,N-Methylpyrrole,Pyrroles,1,2,diagnostic,,0,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M027:S001:q1:m2,,,wB97X-D3,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3,gas,,not_applicable,8,3000,1.74,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_gas_energy_SP_v1,final_energy_Eh;normal_termination;geometry_hash,planned,SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
SP0021,diagnostic_gas_sp,M060_Q0_M1,GAS,S002,DIAGNOSTIC_GAS,gas/SMD decomposition and parser audit,monomer,Aniline,Anilines,0,1,diagnostic,,0,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M060:S002:q0:m1,,,wB97X-D3,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3,gas,,not_applicable,8,3000,1.74,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_gas_energy_SP_v1,final_energy_Eh;normal_termination;geometry_hash,planned,SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
SP0022,diagnostic_gas_sp,M060_QP1_M2,GAS,S002,DIAGNOSTIC_GAS,gas/SMD decomposition and parser audit,monomer,Aniline,Anilines,1,2,diagnostic,,0,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M060:S002:q1:m2,,,wB97X-D3,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3,gas,,not_applicable,8,3000,1.74,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_gas_energy_SP_v1,final_energy_Eh;normal_termination;geometry_hash,planned,SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
SP0023,diagnostic_gas_sp,M070_Q0_M1,GAS,S004,DIAGNOSTIC_GAS,gas/SMD decomposition and parser audit,monomer,Carbazole,Carbazoles,0,1,diagnostic,,0,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M070:S004:q0:m1,,,wB97X-D3,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3,gas,,not_applicable,8,3000,1.74,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_gas_energy_SP_v1,final_energy_Eh;normal_termination;geometry_hash,planned,SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
SP0024,diagnostic_gas_sp,M070_QP1_M2,GAS,S004,DIAGNOSTIC_GAS,gas/SMD decomposition and parser audit,monomer,Carbazole,Carbazoles,1,2,diagnostic,,0,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M070:S004:q1:m2,,,wB97X-D3,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3,gas,,not_applicable,8,3000,1.74,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_gas_energy_SP_v1,final_energy_Eh;normal_termination;geometry_hash,planned,SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
SP0025,diagnostic_gas_sp,M084_Q0_M1,GAS,S001,DIAGNOSTIC_GAS,gas/SMD decomposition and parser audit,monomer,"4,7-Bis(thiophen-2-yl)-2,1,3-benzothiadiazole (TBT)",Donor–Acceptor units,0,1,diagnostic,,0,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M084:S001:q0:m1,,,wB97X-D3,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3,gas,,not_applicable,8,3000,1.74,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_gas_energy_SP_v1,final_energy_Eh;normal_termination;geometry_hash,planned,SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
SP0026,diagnostic_gas_sp,M084_QP1_M2,GAS,S001,DIAGNOSTIC_GAS,gas/SMD decomposition and parser audit,monomer,"4,7-Bis(thiophen-2-yl)-2,1,3-benzothiadiazole (TBT)",Donor–Acceptor units,1,2,diagnostic,,0,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M084:S001:q1:m2,,,wB97X-D3,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3,gas,,not_applicable,8,3000,1.74,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_gas_energy_SP_v1,final_energy_Eh;normal_termination;geometry_hash,planned,SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
SP0027,diagnostic_gas_sp,S001_Q0_M1,GAS,S001,DIAGNOSTIC_GAS,gas/SMD decomposition and parser audit,solvent_oxidation_target,Acetonitrile (MeCN),Nitrile,0,1,diagnostic,,0,self-medium Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:S001:S001:q0:m1,,,wB97X-D3,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3,gas,,not_applicable,8,3000,1.74,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_gas_energy_SP_v1,final_energy_Eh;normal_termination;geometry_hash,planned,SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
SP0028,diagnostic_gas_sp,S001_QP1_M2,GAS,S001,DIAGNOSTIC_GAS,gas/SMD decomposition and parser audit,solvent_oxidation_target,Acetonitrile (MeCN),Nitrile,1,2,diagnostic,,0,self-medium Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:S001:S001:q1:m2,,,wB97X-D3,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3,gas,,not_applicable,8,3000,1.74,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_gas_energy_SP_v1,final_energy_Eh;normal_termination;geometry_hash,planned,SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
SP0029,diagnostic_gas_sp,S017_Q0_M1,GAS,S017,DIAGNOSTIC_GAS,gas/SMD decomposition and parser audit,solvent_oxidation_target,1-Ethyl-3-methylimidazolium bis(trifluoromethanesulfonyl)imide ([EMIM][TFSI]),Ionic liquid,0,1,diagnostic,,0,self-medium Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:S017:S017:q0:m1,,,wB97X-D3,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3,gas,,not_applicable,8,3000,1.74,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_gas_energy_SP_v1,final_energy_Eh;normal_termination;geometry_hash,planned,SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
SP0030,diagnostic_gas_sp,S017_QP1_M2,GAS,S017,DIAGNOSTIC_GAS,gas/SMD decomposition and parser audit,solvent_oxidation_target,1-Ethyl-3-methylimidazolium bis(trifluoromethanesulfonyl)imide ([EMIM][TFSI]),Ionic liquid,1,2,diagnostic,,0,self-medium Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:S017:S017:q1:m2,,,wB97X-D3,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3,gas,,not_applicable,8,3000,1.74,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_gas_energy_SP_v1,final_energy_Eh;normal_termination;geometry_hash,planned,SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
SP0031,smd_energy_sp,A001_Q0_M2,S001,S001,RXN_AOX_A001,fixed_geometry_auxiliary_and_reaction_SP,electrolyte_anion,Hexafluorophosphate (PF6−),Tetraalkylammonium,0,2,train,,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:A001:S001:q0:m2,,298.15,wB97X-D3,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3,native_orca_smd,solvent_smd_registry.csv,resolved_authoritative,8,3000,1.74,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_SMD_energy_SP_v1,final_energy_Eh;CPCM_Dielectric_Eh;SMD_CDS_Eh;echoed_smd_vector;normal_termination;geometry_hash,planned,SRC_PROJECT_TIER2_CURRENT;SRC_ORCA61_SMD;SRC_HANDOFF_SPEC
SP0032,smd_energy_sp,A001_QM1_M1,S001,S001,RXN_AOX_A001,fixed_geometry_auxiliary_and_reaction_SP,electrolyte_anion,Hexafluorophosphate (PF6−),Tetraalkylammonium,-1,1,train,,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:A001:S001:q-1:m1,,298.15,wB97X-D3,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3,native_orca_smd,solvent_smd_registry.csv,resolved_authoritative,8,3000,1.74,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_SMD_energy_SP_v1,final_energy_Eh;CPCM_Dielectric_Eh;SMD_CDS_Eh;echoed_smd_vector;normal_termination;geometry_hash,planned,SRC_PROJECT_TIER2_CURRENT;SRC_ORCA61_SMD;SRC_HANDOFF_SPEC
SP0033,smd_energy_sp,A002_Q0_M2,S001,S001,RXN_AOX_A002,fixed_geometry_auxiliary_and_reaction_SP,electrolyte_anion,Tetrafluoroborate (BF4−),Lithium; Tetraalkylammonium,0,2,test,test_full25,0,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:A002:S001:q0:m2,,298.15,wB97X-D3,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3,native_orca_smd,solvent_smd_registry.csv,resolved_authoritative,8,3000,1.74,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_SMD_energy_SP_v1,final_energy_Eh;CPCM_Dielectric_Eh;SMD_CDS_Eh;echoed_smd_vector;normal_termination;geometry_hash,planned,SRC_PROJECT_TIER2_CURRENT;SRC_ORCA61_SMD;SRC_HANDOFF_SPEC
SP0034,smd_energy_sp,A002_QM1_M1,S001,S001,RXN_AOX_A002,fixed_geometry_auxiliary_and_reaction_SP,electrolyte_anion,Tetrafluoroborate (BF4−),Lithium; Tetraalkylammonium,-1,1,test,test_full25,0,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:A002:S001:q-1:m1,,298.15,wB97X-D3,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3,native_orca_smd,solvent_smd_registry.csv,resolved_authoritative,8,3000,1.74,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_SMD_energy_SP_v1,final_energy_Eh;CPCM_Dielectric_Eh;SMD_CDS_Eh;echoed_smd_vector;normal_termination;geometry_hash,planned,SRC_PROJECT_TIER2_CURRENT;SRC_ORCA61_SMD;SRC_HANDOFF_SPEC
SP0035,smd_energy_sp,A005_Q0_M2,S001,S001,RXN_AOX_A005,fixed_geometry_auxiliary_and_reaction_SP,electrolyte_anion,Bis(trifluoromethanesulfonyl)imide (TFSI−),Lithium; Tetraalkylammonium,0,2,train,train_full25,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:A005:S001:q0:m2,,298.15,wB97X-D3,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3,native_orca_smd,solvent_smd_registry.csv,resolved_authoritative,8,3000,1.74,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_SMD_energy_SP_v1,final_energy_Eh;CPCM_Dielectric_Eh;SMD_CDS_Eh;echoed_smd_vector;normal_termination;geometry_hash,planned,SRC_PROJECT_TIER2_CURRENT;SRC_ORCA61_SMD;SRC_HANDOFF_SPEC
SP0036,smd_energy_sp,A005_QM1_M1,S001,S001,RXN_AOX_A005,fixed_geometry_auxiliary_and_reaction_SP,electrolyte_anion,Bis(trifluoromethanesulfonyl)imide (TFSI−),Lithium; Tetraalkylammonium,-1,1,train,train_full25,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:A005:S001:q-1:m1,,298.15,wB97X-D3,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3,native_orca_smd,solvent_smd_registry.csv,resolved_authoritative,8,3000,1.74,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_SMD_energy_SP_v1,final_energy_Eh;CPCM_Dielectric_Eh;SMD_CDS_Eh;echoed_smd_vector;normal_termination;geometry_hash,planned,SRC_PROJECT_TIER2_CURRENT;SRC_ORCA61_SMD;SRC_HANDOFF_SPEC
SP0037,smd_energy_sp,A006_Q0_M2,S001,S001,RXN_AOX_A006,fixed_geometry_auxiliary_and_reaction_SP,electrolyte_anion,Poly(styrene sulfonate) H-capped repeat-unit anion (PSS− proxy),Polymeric,0,2,val,,0,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:A006:S001:q0:m2,,298.15,wB97X-D3,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3,native_orca_smd,solvent_smd_registry.csv,resolved_authoritative,8,3000,1.74,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_SMD_energy_SP_v1,final_energy_Eh;CPCM_Dielectric_Eh;SMD_CDS_Eh;echoed_smd_vector;normal_termination;geometry_hash,planned,SRC_PROJECT_TIER2_CURRENT;SRC_ORCA61_SMD;SRC_HANDOFF_SPEC
