category,key,value,unit,source_id,notes
loss,consistency_weight,0.25,,SRC_HANDOFF_SPEC,final_residual ~= sp_residual + rt_correction.
loss,anchor_parent_weighting,sum of row weights within each parent = 1,,SRC_HANDOFF_SPEC,Prevents full-25 anchors from dominating.
split,group_key,parent_id,,SRC_HANDOFF_SPEC,"All states, media, sigma product and conformers stay together."
split,calibration_counts,60 train; 14 val; 14 test reactions,,SRC_HANDOFF_SPEC,Defined by calibration_tuple_design.csv.
split,full25_anchors,3 train; 3 blind test,,SRC_HANDOFF_SPEC,Blind test anchors never select architecture or hyperparameters.
training,head_warmup_epochs,50,epochs,SRC_HANDOFF_SPEC,Freeze PolarMACE; train encoders and property heads.
training,head_lr,3e-4,,SRC_HANDOFF_SPEC,AdamW initial setting.
training,lora_enabled,true,,SRC_MACE_LORA;SRC_HANDOFF_SPEC,Begin only after frozen-head smoke and validation.
training,lora_rank,4,,SRC_MACE_LORA,Official default starting rank.
training,lora_alpha,1.0,,SRC_MACE_LORA,Official default starting scale.
training,lora_lr,1e-4,,SRC_HANDOFF_SPEC,Property heads continue at 3e-4 unless validation dictates within supplied search grid.
training,early_stopping,grouped validation MAE; patience 30,,SRC_HANDOFF_SPEC,Test split never queried for stopping.
training,seeds,17;29;43;71;101,,SRC_HANDOFF_SPEC,Five independent ensemble members.
evaluation,metrics,MAE; Spearman; per-parent solvent-trend correlation; boundary false pass/false fail; top-K recall; interval coverage; coverage-accuracy,,SRC_PROJECT_ORIGIN;SRC_HANDOFF_SPEC,"Report by role, family, charge class and solvent region."
uncertainty,ensemble_rule,"calculate each reaction property and screening margin per member, then mean/std",,SRC_HANDOFF_SPEC,Preserves correlated component errors.
uncertainty,abstention,ensemble disagreement + feature-distance OOD + upstream QC,,SRC_HANDOFF_SPEC,Thresholds frozen on validation only.
qc,clean,included in scalar losses,,SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC,Complete tuple required.
qc,flagged,retain value and reason; exclude from primary scalar loss,,SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC,May train separate failure/OOD classifier.
qc,missing,retain failure record only,,SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC,No numeric imputation.
budget,first_round_hard_stop,8000,CPU core-hour,SRC_PROJECT_TIMINGS;SRC_HANDOFF_SPEC,Consumed + queued planned cost guard.
budget,project_total_cap,12000,CPU core-hour,SRC_PROJECT_TIMINGS;SRC_HANDOFF_SPEC,All retries and active-learning additions included.
output,expected_fullspace_rows,5300,reaction-medium rows,SRC_HANDOFF_SPEC,2500 monomer + 25 solvent self + 275 anion + 2500 sigma.
